objectid,parentid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
flood,,flood.jpeg,,,image/jpeg,"A black and white photo from 1889, capturing the wreckage of the flood in Alton. Pictured is the Beaver Woolen Mill and Shaw's creek. ",May and Ethel Houston photo ,,1889,,photographs,History of Alton;heritage building;community engagement;preservation,,,,,,,,,,,Image;StillImage,eng,
studio,,studio.jpeg,,,image/jpeg,"An artist painting a canvas on an easel, situated in one of Alton Mill Arts Centre studio spaces.  ",Alton Mills Art Centre,,2023,,photographs,contemporary art;intersections of past and present,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
turbine,,turbine.jpeg,,,image/jpeg,The original milling power turbine that is preserved in the mill in its own exhibition space. ,Alton Mills Art Centre,,2023,yes,photographs,History of Alton;heritage building;preservation,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
engine,,engine.jpeg,,,image/jpeg,The original engine preserved and displayed in the Mill. ,Alton Mills Art Centre,,2023,yes,photographs,History of Alton;preservation;heritage building,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
altonmill,,altonmill.jpeg,,,image/jpeg,"The Alton Mill Arts Centre photographed, to display the main entrance side of the building. ",Alton Mills Art Centre,,2023,yes,photographs,preservation;heritage building,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
visitors,,visitors.jpeg,,,image/jpeg,"Visitors in a studio space chat with an artist, surrounded by paintings. ",Alton Mills Art Centre,,2023,yes,photographs,contemporary art;intersections of past and present;community engagement,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
mill2,,mill2.jpeg,,,image/jpeg,The front entrance side of the building photographed in early evening. ,Alton Mills Art Centre,,2023,yes,photographs,preservation;heritage building,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
headwaters,,headwaters.jpeg,,,image/jpeg,,Alton Mills Art Centre,,2023,yes,photographs,contemporary art;intersections of past and present;community engagement;ethics of site and space,,,,,,,,,,,Image;StillImage,eng,
bridge,,bridge.jpeg,,,image/jpeg,"An outdoor photograph of the bridge connecting to Shaw's Creek, once used to power the knitting mill. ",Alton Mills Art Centre,,2023,yes,photographs,History of Alton;preservation;intersections of past and present,"Alton, Ontario",,,,,,,,,,Image;StillImage,eng,
gallery,,gallery.jpeg,,,image/jpeg,,Alton Mills Art Centre,,2023,yes,photographs,contemporary art;community engagement;ethics of site and space,,,,,,,,,,,Image;StillImage,eng,
sculpture,,sculpture.jpeg,,,image/jpeg,,Alton Mills Art Centre,,2023,yes,photographs,contemporary art;community engagement;ethics of site and space,,,,,,,,,,,Image;StillImage,eng,
sculpture2,,sculpture2.jpeg,,,image/jpeg,,Alton Mills Art Centre,,2023,yes,photographs,contemporary art;community engagement;ethics of site and space,,,,,,,,,,,Image;StillImage,eng,
preservation,,preservation.jpeg,,,image/jpeg,,Alton Mills Art Centre,,2020,yes,photographs,preservation;heritage building;communtiy engagement;intersections of past and present,,,,,,,,,,,Image;StillImage,eng,
